1.994371414184570312e-03,3.429960000000000000e+05,1.188773956298828125e+02,3.549118041992187500e+01,2.717928466796875000e+02
5.983829498291015625e-03,3.429970000000000000e+05,1.188730773925781250e+02,3.549093627929687500e+01,2.717936096191406250e+02
1.097083091735839844e-02,3.429980000000000000e+05,1.188754196166992188e+02,3.548559188842773438e+01,2.717923583984375000e+02
1.396250724792480469e-02,3.429990000000000000e+05,1.188775558471679688e+02,3.548146438598632812e+01,2.717930603027343750e+02
1.795196533203125000e-02,3.430000000000000000e+05,1.188814392089843750e+02,3.548147583007812500e+01,2.717938842773437500e+02
2.194404602050781250e-02,3.430010000000000000e+05,1.188746566772460938e+02,3.548349761962890625e+01,2.717890319824218750e+02
2.593326568603515625e-02,3.430020000000000000e+05,1.188780441284179688e+02,3.548341751098632812e+01,2.717895507812500000e+02
2.992272377014160156e-02,3.430030000000000000e+05,1.188857574462890625e+02,3.548323440551757812e+01,2.717917480468750000e+02
3.391194343566894531e-02,3.430040000000000000e+05,1.188844985961914062e+02,3.548466873168945312e+01,2.717898254394531250e+02
3.790116310119628906e-02,3.430050000000000000e+05,1.188847885131835938e+02,3.548931503295898438e+01,2.717858276367187500e+02
4.189062118530273438e-02,3.430060000000000000e+05,1.188883056640625000e+02,3.549538803100585938e+01,2.717862243652343750e+02
4.588007926940917969e-02,3.430070000000000000e+05,1.188896408081054688e+02,3.549397659301757812e+01,2.717836303710937500e+02
4.986953735351562500e-02,3.430080000000000000e+05,1.188964233398437500e+02,3.549839401245117188e+01,2.717847595214843750e+02
5.385875701904296875e-02,3.430090000000000000e+05,1.188924560546875000e+02,3.550188064575195312e+01,2.717806091308593750e+02
5.784821510314941406e-02,3.430100000000000000e+05,1.188932495117187500e+02,3.550351333618164062e+01,2.717769165039062500e+02
6.183743476867675781e-02,3.430110000000000000e+05,1.188988571166992188e+02,3.551036071777343750e+01,2.717745971679687500e+02
6.582665443420410156e-02,3.430120000000000000e+05,1.189013595581054688e+02,3.551259231567382812e+01,2.717722167968750000e+02
6.981611251831054688e-02,3.430130000000000000e+05,1.188990859985351562e+02,3.551365280151367188e+01,2.717721862792968750e+02
7.380557060241699219e-02,3.430140000000000000e+05,1.189035186767578125e+02,3.551422119140625000e+01,2.717681274414062500e+02
7.779479026794433594e-02,3.430150000000000000e+05,1.189168853759765625e+02,3.551374435424804688e+01,2.717655944824218750e+02
8.178424835205078125e-02,3.430160000000000000e+05,1.189089279174804688e+02,3.551681137084960938e+01,2.717644348144531250e+02
8.577346801757812500e-02,3.430170000000000000e+05,1.189026718139648438e+02,3.551660156250000000e+01,2.717592773437500000e+02
8.976292610168457031e-02,3.430180000000000000e+05,1.189107208251953125e+02,3.551620483398437500e+01,2.717593383789062500e+02
9.375238418579101562e-02,3.430190000000000000e+05,1.189079895019531250e+02,3.551371765136718750e+01,2.717587890625000000e+02
9.774160385131835938e-02,3.430200000000000000e+05,1.189093551635742188e+02,3.551792907714843750e+01,2.717560424804687500e+02
1.017310619354248047e-01,3.430210000000000000e+05,1.188923950195312500e+02,3.551964950561523438e+01,2.717540893554687500e+02
1.057202816009521484e-01,3.430220000000000000e+05,1.188985595703125000e+02,3.551825332641601562e+01,2.717547302246093750e+02
1.097095012664794922e-01,3.430230000000000000e+05,1.188948287963867188e+02,3.552279663085937500e+01,2.717526855468750000e+02
