,par_id,soa,target_location,congruency_area,congruency_area_continuous,congruency_area_absolute,sub_ind,sub_area,sub_area_continuous
0,1,100.0,1.0,-42.07954041536949,-41.702008247272715,42.07954041536949,19,4.969362425281972,5.181630183625089
1,1,100.0,1.0,-42.07954041536949,-41.702008247272715,42.07954041536949,39,-1.405697747964016,-1.9442552001607964
2,1,100.0,1.0,-42.07954041536949,-41.702008247272715,42.07954041536949,59,-18.000102994227873,-18.190530703044033
3,1,100.0,1.0,-42.07954041536949,-41.702008247272715,42.07954041536949,79,-15.228246984608688,-14.932234436575982
4,1,100.0,1.0,-42.07954041536949,-41.702008247272715,42.07954041536949,99,-9.878423195569951,-10.044943871057512
5,1,350.0,1.0,226.0616426767545,225.4212495208676,226.0616426767545,19,-7.88480084268511,-8.020639191607685
6,1,350.0,1.0,226.0616426767545,225.4212495208676,226.0616426767545,39,40.51937395760624,42.70132733313301
7,1,350.0,1.0,226.0616426767545,225.4212495208676,226.0616426767545,59,91.87133836819719,92.09322933074759
8,1,350.0,1.0,226.0616426767545,225.4212495208676,226.0616426767545,79,62.340300204688205,60.93854382451127
9,1,350.0,1.0,226.0616426767545,225.4212495208676,226.0616426767545,99,27.481997111426892,27.276193816481282
10,1,850.0,1.0,-78.43216321249844,-78.45990669318599,78.43216321249844,19,-11.727495444253881,-12.461184453858593
11,1,850.0,1.0,-78.43216321249844,-78.45990669318599,78.43216321249844,39,-28.37668003369469,-28.53052106889288
12,1,850.0,1.0,-78.43216321249844,-78.45990669318599,78.43216321249844,59,-26.90285254331905,-26.32735388274682
13,1,850.0,1.0,-78.43216321249844,-78.45990669318599,78.43216321249844,79,-5.156770306793163,-4.942711720736497
14,1,850.0,1.0,-78.43216321249844,-78.45990669318599,78.43216321249844,99,-2.381501607508099,-2.295709018686466
15,1,1100.0,1.0,250.50279390570145,250.56309204911577,250.50279390570145,19,17.964121165095502,19.1781270189978
16,1,1100.0,1.0,250.50279390570145,250.56309204911577,250.50279390570145,39,65.7874086427602,66.54271558974676
17,1,1100.0,1.0,250.50279390570145,250.56309204911577,250.50279390570145,59,74.89721103895988,74.4930679801214
18,1,1100.0,1.0,250.50279390570145,250.56309204911577,250.50279390570145,79,54.3615248650498,54.05263478085408
19,1,1100.0,1.0,250.50279390570145,250.56309204911577,250.50279390570145,99,25.003819558837037,23.63693811778012
20,1,100.0,2.0,-114.72297649049779,-113.83059168464206,114.72297649049779,19,-5.258732709929084,-5.684157824857593
21,1,100.0,2.0,-114.72297649049779,-113.83059168464206,114.72297649049779,39,-15.284589740725401,-15.294855076936983
22,1,100.0,2.0,-114.72297649049779,-113.83059168464206,114.72297649049779,59,-25.93861965586123,-26.2346327902535
23,1,100.0,2.0,-114.72297649049779,-113.83059168464206,114.72297649049779,79,-30.708563016706137,-30.70274190730788
24,1,100.0,2.0,-114.72297649049779,-113.83059168464206,114.72297649049779,99,-30.9730894660849,-31.126755679105372
25,1,350.0,2.0,-87.40787277121166,-87.22634887744152,87.40787277121166,19,5.595049580825971,5.8613988819161875
26,1,350.0,2.0,-87.40787277121166,-87.22634887744152,87.40787277121166,39,2.112129239212198,1.543899975215254
27,1,350.0,2.0,-87.40787277121166,-87.22634887744152,87.40787277121166,59,-43.62146349325086,-44.553245123157694
28,1,350.0,2.0,-87.40787277121166,-87.22634887744152,87.40787277121166,79,-40.70187847422301,-39.69874361043367
29,1,350.0,2.0,-87.40787277121166,-87.22634887744152,87.40787277121166,99,-6.297884136569763,-6.013222863464762
30,1,850.0,2.0,60.91511083715437,60.660927859993535,60.91511083715437,19,-2.3816589774560644,-2.6353977677648146
31,1,850.0,2.0,60.91511083715437,60.660927859993535,60.91511083715437,39,1.6570846861721655,2.1355217656237073
32,1,850.0,2.0,60.91511083715437,60.660927859993535,60.91511083715437,59,19.002472612130674,19.403932100095517
33,1,850.0,2.0,60.91511083715437,60.660927859993535,60.91511083715437,79,26.07148704701531,25.94834712164493
34,1,850.0,2.0,60.91511083715437,60.660927859993535,60.91511083715437,99,13.604198583476403,13.360052343103234
35,1,1100.0,2.0,-292.5297577292597,-290.6369910812382,292.5297577292597,19,-13.764943199474814,-14.643968750996265
36,1,1100.0,2.0,-292.5297577292597,-290.6369910812382,292.5297577292597,39,-56.318136051728835,-57.50851128232193
37,1,1100.0,2.0,-292.5297577292597,-290.6369910812382,292.5297577292597,59,-81.92967694907023,-81.57977499878871
38,1,1100.0,2.0,-292.5297577292597,-290.6369910812382,292.5297577292597,79,-60.58253987300739,-60.368415070151514
39,1,1100.0,2.0,-292.5297577292597,-290.6369910812382,292.5297577292597,99,-63.55333486978526,-63.9115962000551
40,2,100.0,1.0,-37.16073262100261,-36.454634654663096,37.16073262100261,19,0.21527672193662672,0.020335444142361325
41,2,100.0,1.0,-37.16073262100261,-36.454634654663096,37.16073262100261,39,-14.329637931215565,-14.61461883946879
42,2,100.0,1.0,-37.16073262100261,-36.454634654663096,37.16073262100261,59,-11.5187116798133,-10.967695179640486
43,2,100.0,1.0,-37.16073262100261,-36.454634654663096,37.16073262100261,79,7.755661685523108,7.686093150839042
44,2,100.0,1.0,-37.16073262100261,-36.454634654663096,37.16073262100261,99,-16.451784943843165,-17.091199089477414
45,2,350.0,1.0,-183.77123190949314,-184.33203551466886,183.77123190949314,19,-8.202752250801671,-8.848678255783582
46,2,350.0,1.0,-183.77123190949314,-184.33203551466886,183.77123190949314,39,-45.28270712996028,-46.518468827430524
47,2,350.0,1.0,-183.77123190949314,-184.33203551466886,183.77123190949314,59,-75.66066301176366,-75.30810073661814
