location,target,cue_ind,soa,screen_calib_routine.thisRepN,screen_calib_routine.thisTrialN,screen_calib_routine.thisN,screen_calib_routine.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_welcome.started,text_welcome.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,trial_type,text_4.started,text_4.stopped,screen_calib_circle_2.started,screen_calib_circle_2.stopped,calib_start.started,calib_start.stopped,screen_calib_circle.started,screen_calib_circle.stopped,text_5.started,text_5.stopped,sound_2.started,sound_2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,text_7.started,text_7.stopped,keep_trial,text_instr_2.started,text_instr_2.stopped,soa_actual,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,text_2.started,text_2.stopped,participant,expVersion,age,sex,date,expName,psychopyVersion,frameRate,
,2,2,100,,,,,0,11,11,12,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,0.11669900000197231,space,1.0114071999996668,,,,,,,1,tathum,21,M,2022-10-31_16h11.04.524,GazeCueingPsychoPy,2022.1.3,60.5933176479181,
,2,1,100,,,,,0,12,12,8,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,0.11671059999935096,space,1.5163054000004195,,,,,,,1,tathum,21,M,2022-10-31_16h11.04.524,GazeCueingPsychoPy,2022.1.3,60.5933176479181,
,2,2,850,,,,,0,13,13,14,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,0.8666606000006141,space,0.8456913999980316,,,,,,,1,tathum,21,M,2022-10-31_16h11.04.524,GazeCueingPsychoPy,2022.1.3,60.5933176479181,
,2,1,850,,,,,0,14,14,10,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,0.8666979999979958,space,0.6130627000020468,,,,,,,1,tathum,21,M,2022-10-31_16h11.04.524,GazeCueingPsychoPy,2022.1.3,60.5933176479181,
,1,1,850,,,,,0,15,15,2,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,0.8666391000006115,space,0.7722350000003644,,,,,,,1,tathum,21,M,2022-10-31_16h11.04.524,GazeCueingPsychoPy,2022.1.3,60.5933176479181,
,2,2,850,,,,,1,0,16,14,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,0.8666960000009567,space,0.5578860999994504,,,,,,,1,tathum,21,M,2022-10-31_16h11.04.524,GazeCueingPsychoPy,2022.1.3,60.5933176479181,
,1,2,850,,,,,1,1,17,6,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,0.8667123999985051,space,0.17669699999896693,,,,,,,1,tathum,21,M,2022-10-31_16h11.04.524,GazeCueingPsychoPy,2022.1.3,60.5933176479181,
,1,1,1100,,,,,1,2,18,3,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,1.1166343000004417,space,0.6503665000018373,,,,,,,1,tathum,21,M,2022-10-31_16h11.04.524,GazeCueingPsychoPy,2022.1.3,60.5933176479181,
,1,2,100,,,,,1,3,19,4,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,0.11668419999841717,space,0.6277324000002409,,,,,,,1,tathum,21,M,2022-10-31_16h11.04.524,GazeCueingPsychoPy,2022.1.3,60.5933176479181,
,2,1,1100,,,,,1,4,20,11,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,1.1167161999983364,space,0.43250430000261986,,,,,,,1,tathum,21,M,2022-10-31_16h11.04.524,GazeCueingPsychoPy,2022.1.3,60.5933176479181,
